# -*- shell-script -*-
# Boundary of the Stellwagen Bank for plotting with gnuplot
# 
# gnuplot
# set yrange [40.9:42.8]
# set xrange [-70.75:-68.4]
# plot 'gsc.dat' with l, 'stellwagen.dat' with l, "inside.tracks" using 3:4

    -70.502624517077535 42.651229858376865  0
    -70.216651917737892 42.766723627364335  0
    -70.035064690795366 42.093299872372249  0
    -70.054344171734087 42.1051712037602  0
    -70.067070010211893 42.108303073944938  0
    -70.086586000518764 42.117519381620241  0
    -70.106071466728224 42.120601658877817  0
    -70.123886112296802 42.126754758125287  0
    -70.140045164348635 42.128528592356282  0
    -70.154968262866575 42.133419041708223  0
    -70.172912604417078 42.13481140155551  0
    -70.196044924942854 42.132099157383799  0
    -70.217071529781094 42.133392331376747  0
    -70.238891607484177 42.129699711869044  0
    -70.2558517459629   42.124347685078639  0
    -70.277999877386733 42.115261073385255  0
    -70.470436094985956 42.12923813443058  0
    -70.597366328254395 42.551074986184581  0
    -70.586975101270227 42.558498376829306  0
    -70.58387756894885  42.563468929236009  0
    -70.572532649020488 42.575222019909717  0
    -70.555580138073651 42.580753321639378  0
    -70.541786193673204 42.587898251490522  0
    -70.528427130349584 42.595039367575716  0
    -70.51586913948303  42.606506341984264  0
    -70.50587462797651  42.621070862684029  0
    -70.501319887816891 42.633117669215117  0
    -70.501304632753104 42.642444604042602  0
    -70.502624517077535 42.651229858376865 0
